CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,NAME,DESCRIPTN,ADDRESS,ALIAS_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,FACEBOOK,PRODUCT_ID,TRSM_AREA,TWITTER,SHAPE,SEQ_ID,X,Y
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2145,Bear Ridge Cabins,Cabins & Cottages;,"1200 Hot Springs Rd, Nakusp, BC","1200 Hot Springs Rd, Nakusp, BC",1200 Hot Springs Rd,V0G1R0,Nakusp,,,,,,50.2584005,-117.8139496,Accommodation,20181201072117,, ,4540288,Kootenay Rockies, ,,3767,1582281.2310000001,616234.3229999989
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2146,Best Western Sicamous Inn,Hotels & Motels;,"806 Trans-Canada Hwy 1, Sicamous, BC","806 Trans-Canada Hwy 1, Sicamous, BC",806 Trans-Canada Hwy 1,V0E2V0,Sicamous,,,,sicamousinn.ca,,50.8380206,-118.968941,Accommodation,20181201072117,,https://www.facebook.com/BWSicamousInnSicamous,4541034,Thompson Okanagan, ,,2867,1494021.0929999996,671599.6240000082
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2147,Mead Manor B&B,Bed & Breakfasts;,"4127 Baker Rd, Prince George, BC",4127 Baker Rd,4127 Baker Rd,V2N5K2,Prince George,,,,www.meadmanorbnb.ca,,53.876717,-122.78265999999999,Accommodation,20181201072118,, ,4539226,Northern British Columbia, ,,3501,1210960.4079999998,990646.2529999986
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2148,King Gething Park,Campgrounds & RV Parks - Private;,"Hwy 29, Hudson's Hope, BC","Hwy 29, Hudson's Hope, BC",Hwy 29,V0C1V0,Hudson's Hope,,,,www.hudsonshope.ca,,56.024494999999995,-121.9284153,Accommodation,20181201072116,,https://www.facebook.com/Hudsons-Hope-Visitor-Centre-564548070316261/,4541121,Northern British Columbia, ,,2171,1253137.293,1232864.0859999964
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2149,Rip Rap Campsite,Cabins & Cottages; Campgrounds & RV Parks - Private;,"1854 Hwy 20, Hagensborg, BC","1854 Hwy 20, Hagensborg, BC",1854 Hwy 20,V0T1H0,Hagensborg,,,,,,52.3584202,-126.7383538,Accommodation,20181201072117,, ,4539238,Cariboo Chilcotin Coast, ,,2639,949803.8530000002,816729.6939999992
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2150,Dinosaur Lake Campground,Campgrounds & RV Parks - Private;,"Dinosaur Lake Rd, Hudson's Hope, BC","Dinosaur Lake Rd, Hudson's Hope, BC",Dinosaur Lake Rd,V0C1V0,Hudson's Hope,,,,www.hudsonshope.ca,,55.977652,-122.0083385,Accommodation,20181201072117,, ,4541122,Northern British Columbia, ,,3329,1248468.281999999,1227361.4120000014
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2151,Orinda's Haven B&B,Bed & Breakfasts;,"363 Northwind Dr, Vernon, BC",363 Northwind Dr,363 Northwind Dr,V1H1X1,Vernon,,,,,,50.347814,-119.2690365,Accommodation,20181201072117,,https://www.facebook.com/pages/Orindas-Haven-BB/1660853847473922,4541253,Thompson Okanagan, ,,3137,1478180.9989999994,615230.0170000028
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2152,Trickle Creek Lodge - by Kimberley Alpine Resort,Hotels & Motels;,"301 Northstar Blvd, Kimberley Alpine Resort, BC","301 Northstar Blvd, Kimberley Alpine Resort, BC",301 Northstar Blvd,V1A2Y5,Kimberley Alpine Resort,,,,www.skircr.com,,49.6836326,-116.0076602,Accommodation,20181201072117,,http://www.facebook.com/kimberleyalpineresort,4541411,Kootenay Rockies,http://twitter.com/kimberleyalpineresort,,3357,1718981.2430000002,569429.2579999994
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2153,Sheraton Vancouver Guildford Hotel,Hotels & Motels;,"15269 - 104th Ave, Surrey, BC",15269 - 104th Ave,15269 - 104th Ave,V3R1N5,Surrey,,,,,,49.191548999999995,-122.798602,Accommodation,20181201072118,,http://www.facebook.com/sheratonguildford,4541415,Vancouver Coast and Mountains,http://twitter.com/sheratongldfrd,,3495,1233511.2919999994,469192.7720000008
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2154,Dee Jay RV Park & Campground,Campgrounds & RV Parks - Private;,"4626 Summer Rd, Barriere, BC","4626 Summer Rd, Barriere, BC",4626 Summer Rd,V0E1E0,Barriere,,,,,,51.1797344,-120.1336565,Accommodation,20181201072117,, ,4539572,Thompson Okanagan, ,,3739,1409241.174000001,702068.004999998
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2155,Hampton Inn & Suites by Hilton - Langley & Surrey,Hotels & Motels;,"19500 Langley Bypass, Surrey, BC",19500 Langley Bypass,19500 Langley Bypass,V3S7R2,Surrey,,,,www.hamptoninnlangley.com,,49.1079408,-122.6825085,Accommodation,20181201072118,, ,4540121,Vancouver Coast and Mountains, ,,3431,1242408.2219999982,460304.58200000226
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2156,Sunnyside Campground,Campgrounds & RV Parks - Private;,"3405 Columbia Valley Hwy, Cultus Lake, BC",4165 Columbia Valley Hwy,3405 Columbia Valley Hwy,V2R5B5,Cultus Lake,,,,,,49.0742569,-121.9765508,Accommodation,20181201072117,,https://www.facebook.com/pages/Sunnyside-Campground/507721332581523,4539955,Vancouver Coast and Mountains,http://twitter.com/SunnysideCampgr,,2633,1294154.2339999997,459243.268000002
