licence number,establishment name,location address line 1,location address line 2,location address city,location postal code,licence type,licence sub type,capacity
17433,A.N.Z.A. CLUBROOMS,3 W  8TH AVE,,VANCOUVER,V5Y1M8,Liquor Primary,Club,177
8990,AARON'S PIZZA,17665  57TH AVE,,CLOVERDALE,V3S1H1,Food Primary,,48
119631,ABBOTSFORD RACQUETS CLUB,2550 YALE COURT,,ABBOTSFORD,V2S4N7,Liquor Primary,,182
205600,ABC COUNTRY RESTAURANT (NANAIMO),6671 MARY ELLEN DR,,NANAIMO,V9V1T7,Food Primary,,196
146320,ABC Country Restaurant (Coquitlam),300 - 100 SCHOOLHOUSE RD,,COQUITLAM,V3K6V9,Food Primary,,158
144296,ABC FAMILY RESTAURANT (CRANBROOK),1601 CRANBROOK ST  N,,CRANBROOK,V1C3S7,Food Primary,,197
195105,ABC Liquor Store (Vanderhoof),2351 Church Street,,VANDERHOOF,V0J3A0,Licensee Retail Store,,
211173,ABSOLUTELY GRAPE,423 B PIONEER HILL DR,BOX 1313,PORT MCNEILL,V0N2R0,UBrew/UVin,,
9946,ADELPHI HOTEL,2101 QUILCHENA AVE,,MERRITT,V1K1B8,Liquor Primary,,116
158231,ADRIAN'S AT THE AIRPORT RESTAURANT,5385 216TH ST,,LANGLEY,V2Y2N3,Food Primary,,148
101692,ADRIENNE'S TEA GARDEN,5325 CORDOVA BAY RD,,VICTORIA,V8Y2L3,Food Primary,,86
301351,AFIC EXIM (Canada) Corp.,,,,,Agent,,
120590,AINSWORTH HOTSPRINGS,#3609 Highway 31 ,,AINSWORTH HOT SPRINGS,V0G1A0,Food Primary,,200
87474,AIR CANADA - AIRCRAFT,VAN  INT  AIRPORT CENTRAL,,RICHMOND,V7B1K5,Liquor Primary,,
28534,AIR CANADA - MAPLE LEAF LOUNGE (DTB) ,"B3307, Gate C29, Level 3, Domestic Terminal",3211 GRANT MCCONACHIE WAY,RICHMOND,V7B1V1,Liquor Primary,,225
174871,AIR CANADA - MAPLE LEAF LOUNGE (International),"C3437.0, Gate D, Level 3, International Terminal",3211 GRANT MCCONACHIE WAY,RICHMOND,V7B1K3,Liquor Primary,,269
171451,AIR CANADA - MAPLE LEAF LOUNGE (Transborder),"C3698.01, Gate E84, Level 3, Transborder USA",3211 GRANT MCCONACHIE WAY,RICHMOND,V7B1Y1,Liquor Primary,,225
307658,AJ's Brooklyn Pizza Joint,325 Broadway E,,VANCOUVER,V5T1W5,Food Primary,,44
187785,AKARI JAPANESE RESTAURANT,7261 120TH ST,,DELTA,V4C6P5,Food Primary,,111
206184,AKASAKA JAPANESE RESTAURANT (MISSION),33227 1ST AVE,,MISSION,V2V1G7,Food Primary,,50
307890,AKD Kitchen Soup + Goods,120-888 Carnarvon St,,NEW WESTMINSTER,V3M0C6,Food Primary,,30
25161,ALBERNI GOLF CLUB,6449 CHERRY CREEK ROAD,,PORT ALBERNI,V9Y8T3,Food Primary,,135
36634,ALBERNI GOLF CLUB,6449 CHERRY CREEK ROAD,,PORT ALBERNI,V9Y8T3,Liquor Primary,,99
194440,ALEXANDER MACKENZIE HOTEL,403 MACKENZIE BLVD,,MACKENZIE,V0J2C0,Licensee Retail Store,,
183026,ALIBI ROOM,157 ALEXANDER ST,,VANCOUVER,V6A1B8,Food Primary,,195
140019,ALL SEASONS CAFE,620 HERRIDGE LANE,,NELSON,V1L6A7,Food Primary,,80
101399,ALPINE PUB,6145 KELLY RD S,,PRINCE GEORGE,V2K4M7,Liquor Primary,,132
306314,AM Global Trading Ltd.,,,,,Agent,,
216611,AMANDA'S RESTAURANT,655 HWY 3A,,NELSON,V1L6M6,Food Primary,,72
209117,AMICI MEDITERRANEAN RESTAURANT,1757 MARINE DRIVE,,WEST VANCOUVER,V7V1J5,Food Primary,,58
117441,AMIGO'S TACO SHOP,229 BRUNSWICK ST,,PRINCE GEORGE,V2L2B4,Food Primary,,80
104337,ANATOLI SOUVLAKI,5 LONSDALE AVE,,NORTH VANCOUVER,V7M2E4,Food Primary,,159
188349,ANCHOR INN (ARMSTRONG),3030 SMITH DR,,ARMSTRONG,V0E1B1,Food Primary,,57
188548,ANCHOR INN (ARMSTRONG),3030 SMITH DR,,ARMSTRONG,V0E1B1,Liquor Primary,,85
65492,ANDREAS STEAK & LOBSTER FAMILY RESTAURANT,153 W  16TH ST,,NORTH VANCOUVER,V7M1T3,Food Primary,,168
35206,ANGLEMONT ESTATES GOLF & COUNTRY CLUB,7838 Golf Course Road,,ANGLEMONT,V0E1M8,Liquor Primary,,20
177280,ANH and CHI Restaurant,3388 Main Street,,VANCOUVER,V5V3M7,Food Primary,,116
134749,ANTON'S PASTA (BURNABY),4260 E  HASTINGS ST,,BURNABY,V5C2J6,Food Primary,,64
10312,APOLLO RISTORANTE AND STEAK HOUSE,1012 CRANBROOK ST  N,,CRANBROOK,V1C3S3,Food Primary,,395
172632,APOLLONIA RESTAURANT,1830 FIR ST,,VANCOUVER,V6J3B1,Food Primary,,34
128578,APPLE LANE RESTAURANT,3313 31ST AVE,,VERNON,V1T2H4,Food Primary,,84
3918,APRIL POINT LODGE,900 April Point Road,,QUADRA ISLAND,V0P1N0,Food Primary,,442
141101,APRIL POINT LODGE,900 April Point Road,,QUADRA ISLAND,V0P1N0,Liquor Primary,,50
112809,ARBUTUS CAFE,195 KENNETH ST,,DUNCAN,V9L1N5,Food Primary,,71
3939,ARBUTUS CLUB,2001 NANTON AVE,,VANCOUVER,V6J4A1,Liquor Primary,Club,664
25769,ARBUTUS CLUB,2001 NANTON AVE,,VANCOUVER,V6J4A1,Food Primary,,1119
308453,ARC Iberico Imports Ltd.,,,,,Agent,,
33502,ARDMORE GOLF COURSE,930 ARDMORE DR,,SIDNEY,V8L5G1,Liquor Primary,,222
31065,ARMS PUB,3261 COAST MERIDIAN RD,,PORT COQUITLAM,V3B3N3,Liquor Primary,,202
63537,ARMSTRONG & DISTRICT CURLING CLUB,3315 Pleasant Valley Road,,ARMSTRONG,V0E1B2,Liquor Primary,Club,94
21937,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, # 100",2211 KINGSWAY,,VANCOUVER,V5N2T6,Liquor Primary,Club,168
87631,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, # 45",119 E  3RD ST,,NORTH VANCOUVER,V7L1E5,Liquor Primary,Club,227
32975,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, #298",3917 MAIN ST,,VANCOUVER,V5V3P3,Liquor Primary,Club,195
32734,"ARMY, NAVY & AIR FORCE VETERANS IN CANADA, #379",22326 NORTH AVE,,MAPLE RIDGE,V2X2J9,Liquor Primary,Club,75
171597,ARROWSMITH GOLF & COUNTRY CLUB,2250 FOWLER RD,,QUALICUM BEACH,V9K2A5,Food Primary,,507
171760,ARROWSMITH GOLF & COUNTRY CLUB,2250 FOWLER RD,,QUALICUM BEACH,V9K2A5,Liquor Primary,,221
188857,ASA Japanese Restaurant,2178 W 41st  Ave,,VANCOUVER,V6M1Z1,Food Primary,,32
134686,ASHCROFT & DISTRICT CURLING CLUB,610 7TH ST,BOX 586,ASHCROFT,V0K1A0,Liquor Primary,,124
86114,ASHCROFT RIVER INN,1st St & Railway,,ASHCROFT,V0K1A0,Food Primary,,237
